name,year,wine ID,rating,price,winery,ratings_count,country,flavor_1,flavor_1_count,flavor_2,flavor_2_count,flavor_3,flavor_3_count,flavor_4,flavor_4_count,flavor_5,flavor_5_count
Gevrey-Chambertin 1er Cru 'Lavaux Saint-Jacques' 2017,2017,4481260,4.2,94.51511640493764,Domaine Faiveley,62,fr,"('red_fruit',)","(17,)","('earth',)","(16,)","('oak',)","(15,)","('non_oak',)","(10,)","('spices',)","(5,)"
Saint-Julien (Grand Cru Classé) 2019,2019,79265,4.4,98.22355681531165,Château Gruaud Larose,62,fr,"('oak',)","(1634,)","('earth',)","(1509,)","('black_fruit',)","(1232,)","('non_oak',)","(1122,)","('spices',)","(560,)"
Les Hauts-Lieux Châteauneuf-du-Pape 2012,2012,2707705,4.1,60.13687151957856,Domaine de la Vieille Julienne,61,fr,"('black_fruit',)","(46,)","('earth',)","(37,)","('spices',)","(36,)","('oak',)","(31,)","('red_fruit',)","(18,)"
Gentilhomme Blanc de Blancs Brut Champagne Grand Cru 2006,2006,2304743,4.2,75.1710893994732,Lenoble,61,fr,"('oak',)","(18,)","('non_oak',)","(17,)","('microbio',)","(15,)","('earth',)","(13,)","('tree_fruit',)","(9,)"
Coma Blanca Priorat 2016,2016,1543909,4.2,69.15740224751535,Mas d'en Gil,61,fr,"('earth',)","(31,)","('oak',)","(31,)","('non_oak',)","(26,)","('microbio',)","(24,)","('tree_fruit',)","(23,)"
Pomerol 2017,2017,1101002,4.0,50.71542831484459,Château Bourgneuf (Vieux Château Bourgneuf),61,fr,"('oak',)","(236,)","('earth',)","(202,)","('black_fruit',)","(176,)","('non_oak',)","(156,)","('red_fruit',)","(118,)"
Vin Jaune Arbois 2009,2009,1603695,4.2,62.14143390356451,Domaine de la Pinte,61,fr,"('non_oak',)","(20,)","('microbio',)","(14,)","('oak',)","(12,)","('earth',)","(11,)","('vegetal',)","(6,)"
Léoube Collector Rouge 2012,2012,2460500,4.2,54.3236406060193,Château Léoube,61,fr,"('black_fruit',)","(10,)","('oak',)","(9,)","('spices',)","(7,)","('earth',)","(7,)","('red_fruit',)","(6,)"
Vintage Port 2017,2017,45454,4.5,102.72379936736012,W. & J. Graham's,61,fr,"('oak',)","(352,)","('black_fruit',)","(296,)","('non_oak',)","(285,)","('dried_fruit',)","(211,)","('spices',)","(206,)"
Vosne-Romanée 2018,2018,24156,4.2,80.08226724023878,Joseph Drouhin,61,fr,"('red_fruit',)","(129,)","('earth',)","(116,)","('oak',)","(101,)","('non_oak',)","(48,)","('spices',)","(48,)"
Pomerol 2015,2015,1111525,4.4,95.21671323933272,Château Feytit-Clinet,61,fr,"('oak',)","(109,)","('earth',)","(92,)","('black_fruit',)","(86,)","('non_oak',)","(55,)","('red_fruit',)","(38,)"
Blanc de Blancs Brut Champagne 2017,2017,1142211,4.4,69.65854284351184,Deutz,60,fr,"('tree_fruit',)","(176,)","('citrus_fruit',)","(149,)","('microbio',)","(142,)","('non_oak',)","(138,)","('oak',)","(136,)"
Pomerol 2019,2019,1172145,4.0,69.15740224751535,Château Beauregard,60,fr,"('oak',)","(319,)","('earth',)","(248,)","('black_fruit',)","(239,)","('non_oak',)","(197,)","('red_fruit',)","(171,)"
Clos Des Perrières Meursault 1er Cru 2018,2018,1107287,4.2,109.24864992723438,Albert Grivault,60,fr,"('oak',)","(67,)","('microbio',)","(58,)","('earth',)","(55,)","('tree_fruit',)","(48,)","('non_oak',)","(42,)"
L'Abeille de Fieuzal Pessac-Léognan Blanc 2008,2008,94827,3.7,50.1140595996488,Château de Fieuzal,60,fr,"('citrus_fruit',)","(49,)","('earth',)","(41,)","('oak',)","(37,)","('tree_fruit',)","(37,)","('non_oak',)","(27,)"
Pauillac de Latour 2017,2017,1224338,4.1,75.1710893994732,Château Latour,59,fr,"('oak',)","(502,)","('black_fruit',)","(451,)","('earth',)","(448,)","('non_oak',)","(365,)","('spices',)","(173,)"
Pinot Noir Sanford & Benedict Vineyard 2016,2016,1212978,4.1,65.14827747954344,Au Bon Climat,59,fr,"('red_fruit',)","(83,)","('oak',)","(66,)","('earth',)","(52,)","('non_oak',)","(51,)","('spices',)","(45,)"
Tinto 2018,2018,1171308,4.4,118.26918065517117,Espectacle del Montsant,59,fr,"('oak',)","(88,)","('earth',)","(78,)","('red_fruit',)","(78,)","('spices',)","(58,)","('black_fruit',)","(52,)"
Saint-Émilion Grand Cru 2015,2015,1314865,4.4,68.05489293632307,Château Tertre de la Mouleyre,59,fr,"('oak',)","(23,)","('non_oak',)","(17,)","('earth',)","(16,)","('spices',)","(15,)","('red_fruit',)","(13,)"
